epoch,train loss,train acc,test loss,test acc
0,0.47446450638866616,23.944,0.24740246623152434,41.05
1,0.3811811925414091,32.448,0.06072791629809548,55.14
2,0.330910234448905,36.326,0.05863849969620163,55.49
3,0.2897369340510072,39.588,-0.07234158754499272,64.71
4,0.26055728754622187,41.856,-0.05577867295865835,63.54
5,0.2413435667260496,43.474,-0.1529045622758191,71.09
6,0.22094702788578247,44.892,-0.15152037260357779,70.53
7,0.20665782920732526,45.994,-0.18010401048443533,72.97
8,0.19421940307806662,46.99,-0.16052744695634552,71.2
9,0.18761509644308078,47.422,-0.19263236322487243,73.64
10,0.17772623187281894,48.35,-0.21142960821438317,74.95
11,0.16897648406254206,48.868,-0.2296084344688088,76.36
12,0.1634545396035444,49.424,-0.22432218943581436,76.19
13,0.1583449449310852,49.724,-0.26318509756314634,78.78
14,0.15247557789856242,50.096,-0.28244441597148623,80.35
15,0.14598511417096813,50.738,-0.2612480801163298,78.78
16,0.14443845495736538,50.85,-0.2530099717204017,78.01
17,0.13931594164748087,51.21,-0.29251359222513257,80.95
18,0.13547468770429294,51.474,-0.2966956202730988,81.38
19,0.1315085413401017,51.758,-0.29851110685955395,81.44
20,0.1280764723089309,52.048,-0.2926743572408503,80.78
21,0.12239519629197267,52.478,-0.29756219037855514,81.2
22,0.1200879245282819,52.568,-0.30150553945339087,81.56
23,0.11683573357297286,52.882,-0.27602861625979647,79.59
24,0.11298866460661129,53.122,-0.29587538826345194,81.18
25,0.11020905011506632,53.414,-0.2737819276223279,79.54
26,0.10597035918433316,53.73,-0.31043968342169365,82.54
27,0.10578429217465252,53.738,-0.32780738370587126,83.44
28,0.1027372855290985,53.91,-0.31557582168266024,82.77
29,0.1018710560684432,53.938,-0.32262453105714584,83.28
30,0.09652283203574401,54.39,-0.3225435867454066,83.14
31,0.09479905241961663,54.508,-0.33734850344633815,84.35
32,0.0937517149737716,54.586,-0.32743047539031866,83.49
33,0.09079603922688323,54.83,-0.33046129917857625,83.78
34,0.08756227082470693,55.046,-0.3279189310892664,83.63
35,0.086019579913721,55.188,-0.3462546083963279,84.95
36,0.08420438284415076,55.274,-0.34270917977949583,84.55
37,0.08164754975668784,55.454,-0.3392747625558063,84.34
38,0.07734868545827077,55.906,-0.3434444112007064,84.69
39,-0.2627357879060065,56.138,-0.13993560202946567,78.02
40,-0.2724673710688799,56.896,-0.2137426765579166,87.33
41,-0.28008653172749076,57.512,-0.21470116244422066,87.53
42,-0.28140881254462774,57.56,-0.2152574581630302,87.7
43,-0.2839140875007442,57.788,-0.21605095131830734,87.78
44,-0.28511785105139553,57.88,-0.21661545546969982,87.77
45,-0.28605433163757554,58.008,-0.2164772900969091,87.92
46,-0.2865737518351637,58.052,-0.2178138437295201,87.9
47,-0.2873670646327292,58.09,-0.2172924733222133,87.96
48,-0.28741608527237045,58.032,-0.21693446344197398,87.9
49,-0.2982083283708186,58.146,-0.2254788007098015,87.84
50,-0.2979629529203346,58.242,-0.2279285184963785,88.12
51,-0.29944722697825615,58.348,-0.22802685953751958,88.25
52,-0.3005378370832107,58.37,-0.22900001885312976,88.36
53,-0.30130528884086916,58.512,-0.22869137727250957,88.24
54,-0.3012001077851695,58.408,-0.22921086923040526,88.29
55,-0.30238197582637616,58.564,-0.22797023572705008,88.12
56,-0.302704702905997,58.592,-0.2292627240672256,88.36
57,-0.30281434045406525,58.562,-0.2272770508672252,88.12
58,-0.3038245579582417,58.696,-0.22704261104867915,88.1
59,-0.30316678997509944,58.654,-0.2283392193341496,88.11
60,-0.30280126072839647,58.598,-0.22936857213275602,88.33
61,-0.3041575667793622,58.604,-0.22950502221632485,88.29
62,-0.3046726606831044,58.79,-0.22882513536347282,88.25
63,-0.30534473106354654,58.818,-0.22918283924309893,88.3
64,-0.30539991454275434,58.738,-0.2292682591712836,88.39
65,-0.3061914178794754,58.866,-0.22932417464978766,88.3
66,-0.3069642499119103,58.938,-0.22925139421766455,88.31
67,-0.3073372480446447,58.96,-0.22938287092579734,88.31
68,-0.3068218169685356,58.9,-0.229655905052869,88.38
69,-0.30688483681611883,58.944,-0.23196473943464685,88.36
70,-0.3065604929455774,58.896,-0.2323036521974236,88.34
71,-0.3082270277944022,59.066,-0.23136307449653895,88.2
72,-0.3081456887160609,59.054,-0.23267419711507933,88.31
73,-0.30896741133892464,59.056,-0.23210706343554488,88.3
74,-0.30921955018459196,59.154,-0.23237359719445008,88.26
75,-0.31031260345287937,59.236,-0.23201264004514674,88.2
76,-0.31052602911162713,59.236,-0.23178854705107332,88.35
77,-0.31072237439647704,59.23,-0.231737111102451,88.26
78,-0.3111057618338025,59.25,-0.2309289180269145,88.2
79,-0.3102827368972297,59.264,-0.2294572683596852,88.07
